Општина,Школа,Мин. бодова,Укупно места,Преостало места
Нови Београд,"Техничка школа ""Змај"", Београд (Нови Београд)",43.72,120,68
Нови Београд,"Техничка школа Нови Београд, Београд (Нови Београд)",40.43,30,6
Нови Бечеј,"Средња школа, Нови Бечеј",39.22,120,44
Нови Кнежевац,"Гимназија и стручна школа ""Доситеј Обрадовић"" , Нови Кнежевац",36.66,150,71
Нови Пазар,"Техничка школа , Нови Пазар",50.35,90,34
Нови Пазар,"Угоститељско-туристичка школа, Нови Пазар",50.22,120,83
Нови Пазар,"Школа за дизајн текстила и коже, Нови Пазар",50.58,60,39
Нови Сад,"Гимназија ""Светозар Марковић"", Нови Сад",59.2,30,11
Нови Сад,"Електротехничка школа ""Михајло Пупин"", Нови Сад",43.46,60,30
Нови Сад,"Медицинска школа ""7. април"" , Нови Сад",56.99,60,14
Нови Сад,"Пољопривредна школа са домом ученика ""Футог"", Футог",43.94,180,112
Нови Сад,"Саобраћајна школа ""Пинки"", Нови Сад",50.82,90,24
Нови Сад,"Средња машинска школа, Нови Сад",42.49,120,58
Нови Сад,"Средња школа ""Светозар Милетић"", Нови Сад",43.38,30,6
Нови Сад,"Техничка школа ""Милева Марић-Ајнштајн"", Нови Сад",39.86,120,55
Нови Сад,"Техничка школа ""Павле Савић"", Нови Сад",35.46,120,46
Нови Сад,"Школа за основно и средње образовање ""Милан Петровић"", Нови Сад",,12,12
Обреновац,"Пољопривредно-хемијска школа, Обреновац",46.85,45,35
Обреновац,"Техничка школа , Обреновац",42.08,60,27
Ораховац,"Гимназија ""Ораховац"", Ораховац",67.73,20,17
Осечина,"Образовно-васпитни центар ""Браћа Недић"", Осечина (Варошица)",48.66,60,36
Оџаци,"Гимназија и економска школа ""Јован Јовановић Змај"", Оџаци",57.12,60,38
Оџаци,"Техничка школа , Оџаци",42.38,105,49
Палилула (Београд),"Железничка техничка школа, Београд (Палилула)",50.27,210,111
Палилула (Београд),"Пољопривредна школа са домом ученика ""ПК Београд"", Београд (Палилула)",40.66,135,56
Палилула (Београд),"Средња техничка ПТТ школа, Београд (Палилула)",37.06,30,15
Палилула (Ниш),"Машинска школа, Ниш (Палилула)",36.93,90,70
Панчево,"Гимназија ""Урош Предић"", Панчево",66.6,120,37
Панчево,"Економско-трговинска школа ""Паја Маргановић"", Панчево",40.95,45,17
Панчево,"Електротехничка школа ""Никола Тесла"", Панчево",42.88,30,6
Панчево,"Машинска школа ""Панчево"", Панчево",34.22,210,65
Панчево,"Пољопривредна школа ""Јосиф Панчић"", Панчево",40.34,75,49
